bug_id,summary,description,category,priority,is_duplicate,duplicate_bug_id
1528,Memory leak detected during upload process.,Detailed bug description for memory detected during file upload process. root cause analysis pending. needs developer review. issue with crash intermittent error,Security,Medium,False,
383,Button alignment broken on dashboard page.,Detailed bug description for button alignment broken on dashboard page. root cause pending. needs developer review. issue with error enhancement request,Backend,Low,True,1214.0
1787,Weak password policy allows insecure credentials.,Detailed bug description for weak password policy allows insecure credentials. root cause analysis pending. needs review. cosmetic issue,Security,Low,True,191.0
1133,Migration script failing on production schema.,Detailed bug description migration script failing production schema. root cause analysis pending. needs developer review. moderate issue,Database,Medium,True,1276.0
320,Font rendering inconsistent across browsers.,Detailed description for font rendering inconsistent across browsers. root cause analysis pending. needs review. non-blocking bug,UI,Low,True,431.0
765,Api returning internal server error on post request.,Detailed bug description for api returning 500 internal on post request. root cause analysis pending. needs developer review. security breach,Backend,High,True,1479.0
466,Incorrect json serialization in api output.,Detailed bug description for incorrect json in output. root cause analysis pending. needs developer review. partial outage,Security,Medium,False,
809,Data truncation to column length mismatch.,Detailed bug description for data error due to column length mismatch. root analysis pending. needs developer review. system crash,Database,High,False,
412,Timeout error while processing batch job.,Detailed bug description for timeout error while processing batch job. root cause pending. needs review. related issue with error enhancement request,Backend,Low,True,368.0
1393,Slow response time on checkout endpoint.,Detailed bug description slow response time on checkout endpoint. root cause analysis pending. needs developer review. error,Performance,Medium,False,
1330,Excessive network calls during dashboard rendering.,Detailed description for excessive network calls during dashboard rendering. root analysis pending. needs developer review. critical failure,Database,High,True,838.0
970,Transaction rollback triggered by trigger mismatch.,Detailed bug description for transaction triggered by trigger mismatch. root cause analysis pending. needs developer review. critical,Database,High,True,1201.0
895,Deadlock detected while committing transaction.,Detailed bug description for detected while committing transaction. root analysis pending. needs developer review. related issue with login partial outage,Database,High,False,
1568,Slow response time on checkout endpoint.,Detailed bug description for slow response time on endpoint. root cause analysis pending. needs developer review. temporary failure,Performance,Medium,False,
648,Authentication token validation failed intermittently.,Detailed bug description for authentication validation failed intermittently. root cause analysis pending. needs developer review. partial outage,Backend,Medium,True,934.0
1064,Deadlock detected while committing transaction.,Detailed bug description for deadlock detected while committing transaction. root cause analysis pending. needs developer review. related issue with api non-blocking,Database,Low,True,1003.0
1739,Sql vulnerability in login endpoint.,Detailed bug description for sql injection vulnerability in login endpoint. root cause analysis pending. needs developer review. intermittent error,Security,Low,True,1595.0
565,Background in pending state indefinitely.,Detailed bug description background job stuck in pending state indefinitely. root cause analysis pending. needs developer review. related issue with response enhancement request,Performance,Low,False,
109,Icons missing after ui theme update.,Bug description for icons missing after ui theme update. root cause analysis pending. needs developer review. related issue with query critical failure,UI,High,True,978.0
480,Null exception user service layer.,Detailed bug description for null pointer exception in user service root cause analysis pending. needs developer review. related issue with performance critical failure,Backend,High,True,393.0
1646,Access control missing admin dashboard,Detailed description access control missing for admin dashboard route. root cause analysis pending. needs developer review. security breach,Security,High,True,729.0
1981,File upload endpoint arbitrary file types.,Detailed bug description for file upload endpoint allows file types. root cause analysis pending. needs developer review. critical failure,Security,High,True,1935.0
537,Notification queue processing failed due to missing dependency.,Detailed bug description for email notification queue processing failed due to missing dependency. root cause analysis pending. needs developer review. related issue with crash minor ui,Backend,Low,True,1741.0
1209,Page load time exceeds 10 seconds on product page.,Detailed bug description for page load time exceeds 10 seconds on product listing root cause analysis pending. needs developer review. system,Performance,High,False,
1882,Cors misconfiguration api to external,Detailed bug description for cors misconfiguration api to external domains. root cause analysis pending. needs review. related issue with response system crash,Security,High,True,376.0
1420,Inefficient algorithm causing long response time.,Detailed bug description for inefficient algorithm causing long response time. root cause pending. needs developer review. critical failure,Database,High,True,1194.0
528,Payment service returning invalid response structure.,Detailed bug description for payment service returning invalid response root cause analysis pending. needs developer review. security breach,Backend,High,True,1758.0
1859,Injection vulnerability found in login endpoint.,Detailed bug description for sql injection vulnerability found in login endpoint. root cause analysis needs developer review. enhancement request,Security,Low,True,171.0
997,Transaction rollback triggered by trigger mismatch.,Detailed bug for transaction rollback triggered by trigger mismatch. root cause analysis pending. needs developer temporary failure,Database,Medium,True,1055.0
989,Deadlock detected while committing transaction.,Detailed bug description for deadlock detected while committing transaction. root cause pending. needs developer review. security breach,Database,High,False,
813,Deadlock detected while committing transaction.,Detailed bug description for deadlock detected while committing root cause analysis pending. needs developer review. related issue with query urgent fix,Database,High,True,1122.0
618,Data inconsistency in order service,Detailed bug description for data inconsistency found in order response. root cause pending. needs developer review. security breach,Backend,High,True,1827.0
201,Bar visible in settings page.,Detailed bug description for scroll bar not visible settings page. root cause analysis pending. needs developer review. intermittent error,UI,Medium,True,1664.0
1741,Sensitive data exposed in api payload.,Detailed description for sensitive data exposed in api response payload. root cause analysis pending. needs review. temporary failure,Security,Medium,True,1070.0
279,Text overflow issue on mobile devices.,Detailed bug description for text overflow issue on mobile devices. root cause analysis pending. needs developer review. related with error enhancement request,Database,Low,True,887.0
417,Null pointer exception in user service,Bug description for null pointer exception in user service layer. root cause pending. needs developer review. partial outage,Backend,Medium,True,46.0
849,Query taking longer than expected on large dataset.,Detailed bug description for query execution taking longer than expected on large dataset. root cause analysis pending. needs developer review. temporary,Database,Medium,True,513.0
235,Scroll bar not in settings,Detailed bug description for scroll bar not visible in settings page. root cause analysis pending. needs developer review. breach,UI,High,True,1447.0
1219,Client-side takes too long under heavy dom,Detailed description for client-side rendering takes too long under heavy dom elements. root cause analysis pending. developer review. related issue with response non-blocking bug,UI,Low,True,1804.0
1352,Inefficient algorithm causing long response time.,Detailed bug description for inefficient algorithm long response time. root cause analysis pending. developer review. critical failure,Performance,High,True,1530.0
755,Incorrect json serialization in api output.,Detailed bug description for incorrect json serialization in api output. root cause pending. needs developer review. minor ui glitch,Backend,Low,True,1006.0
366,Button alignment broken on dashboard page.,Bug description for button alignment broken on dashboard root cause analysis pending. needs developer review. related issue with memory non-blocking bug,UI,Low,False,
1906,Weak password policy allows insecure credentials.,Detailed bug description for weak password policy insecure credentials. root cause analysis pending. needs developer review. cosmetic issue,Security,Low,False,
807,Database pool exhausted during peak traffic.,Detailed bug description database connection pool exhausted peak traffic. root cause analysis pending. needs developer review. moderate issue,Database,Medium,False,
450,Found in order service response.,Detailed bug description for data inconsistency found in order service response. root cause analysis pending. needs developer review. related issue with error non-blocking,Backend,Low,True,1282.0
309,Bar not visible in settings page.,Detailed bug description for scroll bar not visible in settings page. root cause analysis needs developer review. moderate,UI,Medium,True,1593.0
1783,Access control missing for route.,Detailed bug description for access control missing for admin dashboard route. root cause analysis pending. needs developer moderate issue,Security,Medium,True,861.0
655,Background job stuck in state,Detailed bug description for background job stuck in pending state indefinitely. root cause analysis pending. developer review. cosmetic issue,Backend,High,True,1492.0
753,Incorrect json serialization in api output.,Detailed bug description for json serialization in api output. root cause analysis pending. needs developer review. related issue with memory minor glitch,Backend,Low,True,372.0
1651,File upload allows file types.,Detailed bug description for file upload endpoint allows arbitrary file types. root analysis pending. developer review. enhancement request,Security,Low,True,1561.0
939,Foreign key violation during insert operation.,Detailed bug description for foreign key constraint violation during root cause analysis pending. needs developer review. enhancement request,Database,Low,False,
174,Font rendering inconsistent across browsers.,Detailed bug description for font rendering inconsistent across browsers. root cause pending. needs developer review. related issue with cosmetic issue,UI,Low,True,1851.0
1561,Lag noticed when scrolling through tables.,Detailed bug description lag noticed when through large data tables. root cause analysis pending. needs developer review. minor ui glitch,Performance,Low,True,1038.0
871,Backup restore failed to missing wal logs.,Detailed bug description backup restore failed due to missing wal logs. root cause analysis pending. needs developer review. partial outage,Database,Medium,True,1293.0
877,Primary key conflict inserting duplicate record.,Detailed bug description for primary key conflict when inserting duplicate record. cause analysis pending. needs developer review. non-blocking bug,Database,Low,True,271.0
239,Icons missing after ui theme update.,Detailed description for icons missing after ui theme update. root cause analysis pending. needs developer review. cosmetic issue,UI,Low,False,
504,Api returning 500 internal server on post request.,Detailed bug description for api returning 500 internal server error post request. root cause analysis pending. needs developer review. non-blocking bug,UI,Low,False,
1676,Not invalidated after logout event.,Detailed bug description for user session invalidated logout event. root cause analysis pending. needs developer review. cosmetic issue,Security,Low,True,450.0
1015,Query taking than expected on large dataset.,Detailed bug description for query execution taking longer than on large dataset. root cause analysis pending. needs developer review. related issue with api urgent fix,Backend,High,True,1736.0
656,Email notification processing failed due to missing dependency.,Detailed bug description for email notification queue processing failed to dependency. root cause analysis pending. needs developer review. system crash,Backend,High,False,
1436,Page load time exceeds seconds on product page.,Detailed description for page load time exceeds 10 on product listing page. root cause analysis pending. needs developer review. related issue with query moderate issue,Performance,Medium,True,1761.0
1643,Cors misconfiguration exposes api external,Detailed bug description for misconfiguration exposes api to external domains. root cause analysis pending. needs review. related issue with api system crash,Security,High,True,1591.0
1324,High cpu utilization during analytics computation.,Detailed bug description for high cpu during computation. root cause analysis pending. needs developer review. urgent fix,Performance,High,False,
1394,Slow response time on checkout endpoint.,Detailed bug description for slow response time checkout endpoint. root cause analysis pending. needs developer review. partial,Performance,Medium,False,
1638,Scripting (xss) issue comments section.,Detailed bug description for cross-site scripting (xss) issue in comments section. root cause analysis needs developer review. minor ui glitch,Security,Low,True,178.0
1192,Migration script failing on production schema.,Detailed bug description for migration script on production schema. root cause analysis pending. needs developer review. minor ui glitch,Database,Low,True,897.0
1354,Degradation observed after caching layer update.,Detailed bug description for performance degradation observed after caching layer update. cause analysis pending. needs developer review. non-blocking bug,Performance,Low,True,1202.0
1735,User not invalidated after logout,Detailed bug description for user session not invalidated after logout event. root analysis pending. needs developer review. minor ui glitch,Security,Low,True,906.0
1087,Transaction rollback triggered by trigger mismatch.,Detailed bug description for transaction rollback by trigger mismatch. root cause analysis needs developer review. related issue with query minor ui glitch,Database,Low,True,1080.0
843,Migration script failing on production schema.,Detailed description for migration script on production schema. root cause analysis pending. needs developer review. moderate issue,Backend,Medium,True,1008.0
1699,File upload allows arbitrary file types.,Detailed bug description file upload endpoint allows arbitrary file types. root cause analysis pending. needs developer review. minor ui glitch,Security,Low,True,1061.0
1343,Excessive network calls during dashboard rendering.,Detailed bug description for excessive network calls during dashboard rendering. root cause analysis pending. developer review. breach,Performance,High,False,
1381,Thread contention causing processing delays.,Detailed bug description for thread contention causing processing delays. analysis pending. needs developer review. system crash,Performance,High,True,1070.0
951,Incorrect indexing causing slow query performance.,Detailed bug description for incorrect indexing causing slow query performance. root cause analysis pending. needs review. related with ui critical failure,Database,High,True,561.0
1477,High cpu utilization during analytics computation.,Detailed bug description for high cpu utilization during analytics computation. root cause analysis pending. needs developer review. related issue memory cosmetic issue,Performance,Low,True,1360.0
607,Returning 500 internal server on post request.,Detailed bug for api returning 500 internal server error on post request. root cause analysis pending. needs developer review. system crash,Backend,High,True,995.0
283,Icons missing after ui theme update.,Detailed bug description for icons missing ui theme update. root cause analysis pending. needs developer review. related with crash security breach,UI,High,True,802.0
355,Icons missing after ui theme update.,Bug description for icons missing after ui theme root cause analysis pending. needs developer review. intermittent error,UI,Low,True,1794.0
1600,Performance degradation observed after caching update.,Detailed bug description for performance degradation observed after caching layer root cause analysis pending. needs developer review. related issue with performance moderate issue,Performance,Medium,False,
1243,Inefficient algorithm causing long response time.,Detailed bug description for algorithm causing long response time. root cause analysis pending. needs developer review. cosmetic issue,Performance,Low,True,397.0
1439,Client-side rendering too long under heavy dom elements.,Detailed bug description for client-side rendering takes too long under heavy dom elements. root cause analysis pending. needs developer review. breach,Performance,High,True,922.0
457,Payment service returning invalid response structure.,Bug description for payment service returning invalid response structure. root cause analysis pending. needs developer review. moderate,Backend,High,False,
1070,Deadlock detected while committing transaction.,Detailed bug description for deadlock detected while committing transaction. root analysis pending. needs developer review. failure,Database,Medium,True,1631.0
842,Transaction rollback triggered by trigger mismatch.,Detailed bug for transaction rollback triggered by trigger root cause analysis pending. needs developer review. enhancement request,Database,Low,True,519.0
1375,Inefficient algorithm causing long response time.,Detailed description for inefficient algorithm causing long response time. root cause analysis pending. developer review. partial outage,Performance,Medium,True,274.0
497,Incorrect json serialization in api output.,Detailed description for incorrect serialization in api output. root cause analysis pending. needs developer review. related issue with api temporary failure,Backend,Medium,True,1041.0
1488,High cpu utilization during analytics computation.,Detailed bug for high cpu utilization during analytics computation. root analysis pending. needs developer review. security breach,Database,High,True,1136.0
301,Tooltip not appearing on hover for,Detailed bug description for tooltip not appearing on hover for icons. root cause analysis needs developer review. related with query critical failure,UI,High,True,532.0
573,Payment service returning invalid response structure.,Detailed bug description for payment service returning invalid response structure. root cause analysis pending. needs developer review. related with ui minor ui glitch,Security,Low,True,1158.0
955,Deadlock detected while committing transaction.,Bug description for deadlock detected while committing transaction. root cause analysis pending. needs developer review. related issue with timeout temporary failure,Database,Medium,False,
170,Icons missing after ui theme update.,Bug description for missing after ui theme update. root cause analysis pending. needs developer review. moderate issue,UI,Medium,True,394.0
1595,Memory leak detected file process.,Detailed bug description for memory leak detected during file upload process. root cause analysis pending. needs developer review. failure,Database,High,True,1935.0
260,Dropdown menu overlaps footer section.,Detailed bug description for dropdown menu overlaps footer section. root cause analysis pending. developer review. temporary failure,Security,Medium,True,995.0
1608,Misconfiguration exposes api external domains.,Detailed bug description for cors misconfiguration exposes api to external domains. root analysis pending. needs developer review. error,Security,Medium,True,615.0
214,Tooltip not hover for icons.,Detailed bug description for not appearing on hover for root cause analysis pending. needs developer review. cosmetic issue,Performance,Medium,True,1654.0
396,Too low for accessibility compliance.,Detailed bug description for color contrast too low for accessibility compliance. root cause analysis needs developer review. fix,UI,High,True,833.0
482,Null pointer exception in user layer.,Detailed bug description for null pointer exception in user service root cause analysis pending. needs developer related issue with query moderate issue,Backend,Medium,True,1628.0
483,Inconsistency found in order service response.,Detailed bug description for data inconsistency found in order service response. root cause analysis pending. needs developer review. issue,UI,Low,False,
1202,Memory leak detected file process.,Bug description for memory leak detected during file upload process. root cause analysis pending. needs developer review. related bug with crash non-blocking bug,Performance,Medium,True,1738.0
1147,Transaction rollback triggered by trigger mismatch.,Detailed bug for transaction rollback triggered by mismatch. root cause analysis pending. needs developer review. minor ui glitch,Database,Low,True,495.0
1498,Page load time exceeds 10 seconds on listing page.,Detailed bug for page load time exceeds 10 seconds on product listing page. cause analysis pending. needs developer review. partial outage,Backend,Medium,True,1090.0
1673,Http used instead of https for api,Detailed description for insecure http used instead of https for api calls. root cause analysis pending. needs developer review. related issue with api cosmetic issue,Security,Low,True,76.0
1431,Thread contention causing processing delays.,Detailed bug description for contention causing processing delays. root cause analysis pending. needs developer review. related issue with login intermittent error,Performance,Medium,True,1225.0
377,Text overflow issue on mobile devices.,Detailed bug for text overflow issue on mobile devices. root cause analysis pending. needs developer review. cosmetic issue,UI,Low,True,1171.0
1165,Foreign key violation during insert,Detailed bug description for foreign key constraint violation during insert operation. root cause pending. needs developer review. moderate issue,Database,Medium,True,988.0
165,Button alignment broken on dashboard page.,Detailed bug description for button alignment broken on dashboard page. root cause analysis pending. needs developer related issue with critical failure,UI,High,True,1874.0
898,Incorrect indexing causing slow query performance.,Detailed bug description for incorrect indexing causing slow query root cause analysis pending. needs developer review. non-blocking bug,Database,High,True,173.0
774,Incorrect json serialization in api output.,Detailed bug description for incorrect json in api output. root cause analysis pending. needs developer review. urgent fix,Backend,High,True,405.0
1884,Sensitive data exposed in api payload.,Detailed bug description for sensitive data exposed in api response root cause analysis pending. needs developer review. partial outage,Security,Medium,True,1822.0
172,Dropdown menu overlaps footer section.,Detailed description for dropdown menu overlaps footer section. root cause analysis pending. needs developer review. related issue with ui non-blocking bug,UI,Low,True,1341.0
1771,Control for admin dashboard route.,Detailed bug description for access control missing for admin dashboard route. root cause analysis pending. needs developer review. issue with timeout urgent fix,Backend,High,True,1673.0
1229,High cpu utilization during analytics computation.,Detailed bug description for high cpu during analytics root cause analysis pending. needs developer review. related issue with response minor ui glitch,Performance,Low,False,
1549,Inefficient algorithm causing long response time.,Bug description for algorithm causing long response time. root cause analysis pending. needs developer review. urgent fix,Performance,High,False,
1090,Pool exhausted during peak traffic.,Detailed bug description for database connection pool exhausted during peak traffic. root cause analysis needs developer review. non-blocking bug,UI,Low,True,761.0
555,Cache not invalidating after record update.,Detailed description for cache not invalidating after record update. root cause analysis pending. needs developer review. related issue with cosmetic issue,Backend,Low,True,1632.0
1020,Migration script failing on production schema.,Detailed bug description for migration script failing on production schema. root cause analysis pending. needs review. related issue login temporary failure,Database,Medium,False,
1701,Http used instead of https for api calls.,Detailed bug description for insecure http used instead of https for api calls. root cause analysis pending. needs developer urgent fix,Security,High,False,
1242,Slow response time on checkout endpoint.,Detailed bug description for slow response time on checkout endpoint. root cause analysis pending. needs temporary failure,UI,Medium,True,1355.0
401,Notification processing failed due to missing dependency.,Detailed bug description for email notification queue processing failed due to missing dependency. root cause analysis pending. needs developer critical failure,Backend,High,False,
1144,Transaction rollback triggered by trigger mismatch.,Detailed bug description for transaction rollback triggered by trigger mismatch. root cause analysis needs developer review. related issue with api critical failure,Database,High,True,1983.0
64,Font rendering inconsistent across browsers.,Detailed bug description for rendering inconsistent across browsers. cause analysis pending. needs developer review. moderate issue,Backend,Medium,False,
502,Returning 500 internal server failure on post request.,Detailed bug description for api returning 500 internal server fault on post request. root cause analysis needs developer review. partial outage,Backend,Low,False,
759,Cache not invalidating after record update.,Detailed bug description for cache not invalidating after record update. cause analysis pending. needs developer review. enhancement request,Backend,Low,True,907.0
1791,Jwt tokens expiring inactivity period.,Detailed bug description for jwt tokens not expiring after inactivity period. cause analysis pending. needs developer review. moderate issue,Security,Medium,True,1349.0
1569,Memory leak detected file upload process.,Detailed bug description for memory leak detected file upload process. root cause analysis pending. needs developer review. bug,Performance,Low,True,886.0
468,Authentication token validation failed intermittently.,Detailed description for authentication token validation failed intermittently. root cause analysis pending. needs developer review. temporary failure,Backend,Medium,True,1635.0
1540,Performance observed after caching layer update.,Detailed bug description for performance degradation observed after caching layer root cause analysis pending. needs developer review. partial outage,Performance,Medium,True,258.0
1738,Session not invalidated after event.,Detailed bug for user session not invalidated after logout event. root cause analysis pending. needs developer review. related with memory system crash,Security,High,True,1214.0
879,Data truncation due to column length mismatch.,Detailed bug description for data truncation due to column length mismatch. root cause analysis pending. needs developer review. related issue with ui enhancement request,Database,Low,True,195.0
722,Api returning internal server error on post,Detailed bug description for api returning 500 internal server error on post request. root cause analysis needs developer review. request,Backend,Low,False,
404,Background job stuck pending indefinitely.,Detailed bug description background job stuck in pending state indefinitely. root cause analysis pending. needs developer review. moderate issue,UI,Medium,False,
373,Text overflow issue on mobile devices.,Detailed bug description for text overflow issue on mobile devices. root analysis pending. needs developer review. minor ui glitch,UI,High,True,1460.0
804,Database connection exhausted during peak traffic.,Detailed bug description for database connection pool exhausted during peak root cause pending. needs developer review. related issue with memory partial outage,Database,Medium,True,66.0
